Name_email,Local Body,Local Body Type,LSG Code,Block,Assembly,District,District Panchayat,wikidata link,Name_std_ml,wikidata-kml,Local Body Full_ml,വെബ്സൈറ്റ്‌,Assembly(s)
azhoor,azhoor,GP,G010705,kazhakuttom,Chirayinkeezhu,Thiruvananthapuram,Thiruvananthapuram,Q4832552,അഴൂര്‍,Q4832552,അഴൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/azhoorpanchayat,ചിറയിൻകീഴ്
badiadka,badiadka,GP,G140305,kasaragod,Kasaragod,Kasaragod,Kasaragod,Q16137320,ബദിയഡുക്ക,Q16137320,ബദിയഡുക്ക ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/badiadkapanchayat,കാസര്‍കോഡ്
balal,balal,GP,G140501,parappa,Kanhangad,Kasaragod,Kasaragod,Q16137397,ബളാല്‍,Q16137397,ബളാല്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/balalpanchayat,കാഞ്ഞങ്ങാട്
balaramapuram,balaramapuram,GP,G010801,nemom,Kovalam,Thiruvananthapuram,Thiruvananthapuram,Q23307850,ബാലരാമപുരം,Q23307850,ബാലരാമപുരം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/balaramapurampanchayat,കോവളം
balussery,balussery,GP,G110701,balussery,Balussery,Kozhikode,Kozhikode,Q16137572,ബാലുശ്ശേരി,Q16137572,ബാലുശ്ശേരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/balusserypanchayat,ബാലുശ്ശേരി
bedadka,bedadka,GP,G140206,karadka,Udma,Kasaragod,Kasaragod,Q13113674,ബേഡഡുക്ക,Q13113674,ബേഡഡുക്ക ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/bedadkapanchayat,ഉദുമ
belloor,belloor,GP,G140201,karadka,Kasaragod,Kasaragod,Kasaragod,Q16137823,ബേളൂര്‍,Q16137823,ബേളൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/belloorpanchayat,കാസര്‍കോഡ്
bharananganam,bharananganam,GP,G050501,lalam,Pala,Kottayam,Kottayam,Q13113726,ഭരണങ്ങാനം,Q13113726,ഭരണങ്ങാനം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/bharananganampanchayat,പാലാ
bharanickavu,bharanickavu,GP,G041103,bharanickavu,Kayamkulam,Alappuzha,Alappuzha,Q20582157,ഭരണിക്കാവ്,Q20582157,ഭരണിക്കാവ് ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/bharanickavupanchayat,കായംകുളം
budhanoor,budhanoor,GP,G040806,chengannur,Chengannur,Alappuzha,Alappuzha,Q13113665,ബുധനൂര്‍,Q13113665,ബുധനൂര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/budhanoorpanchayat,ചെങ്ങന്നൂർ
